Event	152	Guns	2
556.466	-16.449060	-38.576630	1163.429565
616.669	-0.203047	-44.322826	1239.806030
Event	153	Guns	2
626.432	4.759779	-23.966389	1252.584351
614.052	12.039711	-19.697931	1237.097656
Event	154	Guns	2
569.657	31.700548	18.009331	1180.525024
564.779	8.349933	10.129647	1174.775146
Event	155	Guns	2
645.521	-14.311521	23.504251	1276.307007
597.512	-22.872284	34.513260	1215.775146
Event	156	Guns	2
589.172	-24.128088	-30.483664	1205.298218
598.753	-8.147930	-11.843111	1217.963135
Event	157	Guns	2
558.461	4.537446	34.987724	1166.214233
595.255	-4.527305	-33.999557	1213.142822
Event	158	Guns	2
601.956	31.332016	6.774645	1221.670288
646.297	-46.124294	-10.923733	1276.686523
Event	159	Guns	2
571.617	31.148943	30.706158	1182.783813
643.285	-33.164219	-30.228935	1273.035156
Event	160	Guns	2
565.441	-19.729919	9.361750	1175.493408
594.845	-16.392527	8.041719	1212.971313
Event	161	Guns	2
585.312	38.081940	5.348048	1200.412109
592.112	-11.739847	-0.879416	1209.593018
Event	162	Guns	2
628.469	-15.675396	31.748232	1254.868774
592.701	12.377026	-28.721779	1209.991211
Event	163	Guns	2
642.792	0.999369	-20.235535	1273.052368
555.182	3.565908	-15.246712	1162.428955
Event	164	Guns	2
585.903	-32.138649	-12.323624	1201.285645
555.659	-26.990055	-16.934664	1162.711548
Event	165	Guns	2
556.397	16.976681	25.976652	1163.682739
603.827	-18.903488	-42.309898	1223.572876
Event	166	Guns	2
599.572	-42.245407	10.902145	1218.300781
554.429	40.223015	-3.164112	1160.864990
Event	167	Guns	2
569.12	-38.376423	-11.907410	1179.718140
601.296	18.423260	8.017519	1221.092651
Event	168	Guns	2
561.959	7.346025	-10.753074	1171.163208
601.404	-4.776194	5.502349	1221.371826
Event	169	Guns	2
631.83	33.131786	-13.441162	1259.056152
598.701	-44.834564	14.954895	1217.064575
Event	170	Guns	2
625.579	-1.053934	-30.227512	1251.391235
600.143	2.391296	-43.746983	1219.015991
Event	171	Guns	2
628.752	-32.801872	37.736843	1254.725586
592.787	10.999065	0.459062	1210.454590
Event	172	Guns	2
621.687	-15.310925	-25.109842	1246.539795
593.115	-10.778803	29.071081	1210.522583
Event	173	Guns	2
641.913	-1.250098	26.590527	1271.841431
640.837	22.923552	-17.950735	1270.448486
Event	174	Guns	2
585.204	-35.490387	-14.152438	1200.283325
641.66	-13.136553	-40.171703	1271.103149
Event	175	Guns	2
605.416	6.625025	9.965421	1226.393555
589.357	3.928946	-15.515007	1206.053223
Event	176	Guns	2
648.578	47.159046	-13.431973	1279.457275
640.018	29.393049	18.633869	1269.287354
Event	177	Guns	2
568.178	41.508953	12.094933	1178.404297
586.929	-14.449017	-26.100502	1202.710083
Event	178	Guns	2
561.669	-23.097834	31.648457	1170.207764
637.986	-24.983158	3.400651	1266.984741
Event	179	Guns	2
576.386	-6.839473	27.791224	1189.330566
600.956	31.282423	-9.009080	1220.395264
Event	180	Guns	2
569.305	-34.081768	-20.885242	1179.961670
601.213	1.560801	-43.671337	1220.370972
Event	181	Guns	2
639.411	7.990118	17.428522	1268.864502
648.789	23.831379	-36.310257	1279.921509
Event	182	Guns	2
582.365	47.412418	-6.417870	1196.327637
649.159	-24.835026	-29.932783	1280.526489
Event	183	Guns	2
552.661	26.920193	13.844564	1158.896729
596.992	4.178533	34.036640	1215.339355
Event	184	Guns	2
595.89	31.095079	-29.718124	1213.667480
597.693	-28.378901	-6.567365	1216.359985
Event	185	Guns	2
615.381	-40.662895	8.847586	1238.282104
644.412	-33.848576	-29.245235	1274.440674
Event	186	Guns	2
608.743	1.602571	-12.511941	1230.575439
595.339	33.939873	-18.458021	1213.118042
Event	187	Guns	2
634.17	-25.397890	-3.211432	1262.222046
577.472	-18.583054	-16.682028	1190.796021
Event	188	Guns	2
627.701	17.915716	-35.108540	1253.788574
628.607	-35.767979	18.195833	1254.898804
Event	189	Guns	2
597.556	-8.448379	4.972127	1216.496094
575.83	35.329823	1.476889	1188.440063
Event	190	Guns	2
590.766	-8.848737	-44.914757	1207.076782
576.475	-17.617975	41.919193	1188.919312
Event	191	Guns	2
560.435	15.105577	-39.614109	1168.511963
573.498	33.696301	-26.989227	1185.206665
Event	192	Guns	2
554.682	-14.664242	-13.875437	1161.716675
625.658	10.002900	40.731766	1251.152222
Event	193	Guns	2
573.81	-10.322525	-35.496304	1185.813843
621.86	-8.406639	38.007156	1246.495239
Event	194	Guns	2
567.126	-46.200436	-2.119047	1176.944214
622.656	28.867336	18.270161	1247.632446
Event	195	Guns	2
581.246	-34.940815	14.219582	1195.265991
584.838	-17.993988	-6.708299	1200.272583
Event	196	Guns	2
575.038	1.310181	47.098827	1187.021851
586.325	-5.224224	5.667361	1202.288818
Event	197	Guns	2
594.577	-15.827415	26.541409	1212.375244
633.1	-31.731340	10.475946	1260.704346
Event	198	Guns	2
588.115	-16.035389	-18.977303	1204.328613
634.276	-1.379528	45.199123	1261.803711
Event	199	Guns	2
557.486	-2.970701	-20.007238	1165.320068
630.865	-21.136585	36.943554	1257.639893
Event	200	Guns	2
551.631	-10.205697	-2.363443	1157.918091
582.817	21.779211	29.383390	1197.299805
Event	201	Guns	2
571.165	32.952541	33.113201	1182.091431
579.655	4.711686	33.375648	1193.361328
Event	202	Guns	2
615.285	-26.430464	11.464345	1238.526489
581.582	-42.899166	-11.908398	1195.459717
Event	203	Guns	2
618.054	46.250050	15.416207	1241.377563
623.694	8.806498	-37.983116	1248.790527
Event	204	Guns	2
561.272	15.869327	-21.254580	1170.053711
574.422	-27.584030	-17.252758	1186.724854
Event	205	Guns	2
630.998	40.795040	-14.929408	1257.776001
621.461	-21.926224	-41.463406	1245.720947
Event	206	Guns	2
574.589	-0.203196	36.944489	1186.808472
572.649	-40.806168	4.218680	1184.198242
Event	207	Guns	2
594.565	19.391226	-29.531055	1212.239502
620.072	18.556847	8.285065	1244.697754
Event	208	Guns	2
